Year,Type,Count
2015,Social Disorder,3061
2016,Social Disorder,3028
2018,Social Disorder,3020
2017,Social Disorder,3009
2014,Social Disorder,2976
2019,Social Disorder,2963
2013,Social Disorder,2942
2012,Social Disorder,2939
